Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Spoon_loc_x,Spoon_loc_y,Spoon_loc_z,Score,Out,Trials,Remains
05:04:26.943,5,-0.02,-0.02,-0.02,44.2,268.8,32.8,0.7487273,1.361234,-0.1140146,0,0,0,128
05:04:26.966,28,-0.09,0.06,0.16,44,268.7,32.6,0.748301,1.362544,-0.1130536,0,0,0,128
05:04:26.988,50,-0.09,0.01,0.12,44,268.8,32.5,0.7481331,1.363171,-0.1127121,0,0,0,128
05:04:27.034,96,-0.03,0.02,0.14,44,268.8,32.5,0.7480587,1.363553,-0.1124907,0,0,0,128
05:04:27.080,142,-0.03,-0.02,0.08,43.9,268.9,32.5,0.7480921,1.363386,-0.11252,0,0,0,128
05:04:27.124,186,0.12,-0.01,-0.03,43.8,269.3,32.5,0.7478785,1.363399,-0.1125731,0,0,0,128
05:04:27.162,223,0.1,-0.03,-0.05,43.8,269.3,32.5,0.7474036,1.364173,-0.1124222,0,0,0,128
05:04:27.181,243,0.1,-0.03,-0.05,43.8,269.3,32.5,0.7474036,1.364173,-0.1124222,0,0,0,128
05:04:27.223,285,0.01,-0.04,-0.09,43.8,269.4,32.5,0.7464651,1.364664,-0.113085,0,0,0,128
05:04:27.291,353,0,0.02,0.02,43.8,269.5,32.4,0.7459483,1.36481,-0.1133735,0,0,0,128
05:04:27.354,416,0.06,0,0.04,43.6,269.7,32.4,0.7457756,1.364665,-0.1126997,0,0,0,128
05:04:27.388,450,-0.13,0.02,0,43.6,269.9,32.4,0.7456421,1.366001,-0.1108403,0,0,0,128
05:04:27.429,491,-0.04,0,-0.06,43.6,269.9,32.4,0.7451491,1.367051,-0.1103797,0,0,0,128
05:04:27.483,545,-0.26,0.14,-0.21,43.5,270.2,32.7,0.7450232,1.367395,-0.110656,0,0,0,128
05:04:27.507,569,-0.41,0.24,-0.18,43.5,270.3,32.8,0.745028,1.36748,-0.1109858,0,0,0,128
05:04:27.545,608,-0.25,0,0.29,43.5,270.4,33,0.7451739,1.366405,-0.1122136,0,0,0,128
